"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2022","432.77","429.52","432.77","428.34","202.95M","1.09%"
"07/27/2022","428.12","426.73","429.25","426.65","223.83M","0.47%"
"07/26/2022","426.13","426.20","427.45","425.28","172.79M","-0.03%"
"07/25/2022","426.25","425.04","427.22","423.27","168.47M","0.13%"
"07/22/2022","425.71","424.29","427.85","423.13","182.36M","0.31%"
"07/21/2022","424.39","422.17","424.39","420.03","240.79M","0.44%"
"07/20/2022","422.51","423.57","425.63","420.84","231.47M","-0.21%"
"07/19/2022","423.41","416.18","423.87","414.61","190.11M","1.38%"
"07/18/2022","417.63","414.73","420.00","414.73","173.02M","0.93%"
"07/15/2022","413.78","407.41","414.00","406.52","215.57M","1.79%"
"07/14/2022","406.50","412.56","412.66","404.78","223.59M","-1.53%"
"07/13/2022","412.81","416.91","416.91","409.30","188.70M","-1.01%"
"07/12/2022","417.04","414.46","417.14","411.36","227.74M","0.49%"
"07/11/2022","415.02","415.01","416.19","410.83","164.87M","-0.50%"
"07/08/2022","417.12","414.86","417.50","412.59","168.00M","0.51%"
"07/07/2022","415.01","409.42","415.39","409.42","235.42M","1.88%"
"07/06/2022","407.34","402.20","409.24","402.20","225.18M","1.66%"
"07/05/2022","400.68","410.19","411.51","400.50","238.39M","-2.11%"
"07/04/2022","409.31","408.93","411.44","408.87","129.21M","0.54%"
"07/01/2022","407.13","405.89","409.49","402.60","179.09M","-0.02%"
"06/30/2022","407.20","411.96","411.96","404.28","246.81M","-1.50%"
"06/29/2022","413.42","414.63","414.63","409.97","173.27M","-0.67%"
"06/28/2022","416.19","416.04","419.20","415.91","172.99M","0.27%"
"06/27/2022","415.09","413.52","418.58","413.06","184.78M","0.52%"
"06/24/2022","412.93","402.94","413.21","402.94","195.94M","2.62%"
"06/23/2022","402.40","404.42","406.26","400.03","206.58M","-0.82%"
"06/22/2022","405.74","408.84","408.84","401.25","238.93M","-0.70%"
"06/21/2022","408.58","407.41","411.77","407.41","156.18M","0.35%"
"06/20/2022","407.14","403.38","407.14","402.11","159.60M","0.96%"
"06/17/2022","403.25","403.37","409.15","401.92","449.96M","0.09%"
"06/16/2022","402.88","412.59","412.59","402.06","255.52M","-2.47%"
"06/15/2022","413.10","408.12","415.30","407.60","252.66M","1.42%"
"06/14/2022","407.32","414.01","416.61","407.32","214.26M","-1.26%"
"06/13/2022","412.52","420.75","420.75","411.34","246.35M","-2.41%"
"06/10/2022","422.71","433.29","433.29","422.01","251.06M","-2.69%"
"06/09/2022","434.38","439.05","439.50","433.52","189.53M","-1.36%"
"06/08/2022","440.37","443.66","444.37","438.19","175.65M","-0.57%"
"06/07/2022","442.88","442.87","443.25","440.23","173.94M","-0.28%"
"06/06/2022","444.12","440.98","445.72","440.98","145.90M","0.92%"
"06/03/2022","440.09","442.41","443.37","439.69","66.03M","-0.26%"
"06/02/2022","441.23","439.54","441.54","439.54","65.82M","0.57%"
"06/01/2022","438.72","443.62","445.29","438.54","181.52M","-1.04%"
"05/31/2022","443.35","446.02","446.37","442.70","405.17M","-0.72%"
"05/30/2022","446.57","444.72","447.79","444.72","197.52M","0.59%"
"05/27/2022","443.93","438.57","444.07","438.35","178.92M","1.42%"
"05/26/2022","437.71","434.41","438.20","434.41","165.60M","0.78%"
"05/25/2022","434.31","432.97","435.83","431.17","193.40M","0.63%"
"05/24/2022","431.58","434.76","434.76","430.81","229.54M","-1.14%"
"05/23/2022","436.54","432.85","436.58","431.60","186.51M","1.26%"
"05/20/2022","431.10","429.28","435.52","429.28","195.74M","0.73%"
"05/19/2022","427.99","431.57","431.57","423.46","221.13M","-1.37%"
"05/18/2022","433.95","439.28","440.24","433.92","195.21M","-1.14%"
"05/17/2022","438.97","435.48","441.46","435.48","194.44M","1.22%"
"05/16/2022","433.67","432.45","434.16","429.95","176.24M","0.04%"
"05/13/2022","433.48","425.79","433.48","425.79","195.68M","2.14%"
"05/12/2022","424.40","423.77","426.24","417.27","230.97M","-0.75%"
"05/11/2022","427.59","421.82","427.59","419.45","266.26M","1.74%"
"05/10/2022","420.29","418.66","425.42","418.66","216.17M","0.68%"
"05/09/2022","417.46","428.55","429.49","417.46","198.61M","-2.90%"
"05/06/2022","429.91","436.64","436.64","426.86","254.24M","-1.91%"
"05/05/2022","438.26","444.18","449.48","437.46","236.31M","-0.70%"
"05/04/2022","441.37","446.34","446.72","441.37","180.69M","-1.08%"
"05/03/2022","446.20","444.96","447.55","443.62","247.20M","0.53%"
"05/02/2022","443.83","448.26","448.26","437.04","102.95M","-1.46%"
"04/29/2022","450.39","448.53","453.42","448.53","224.94M","0.74%"
"04/28/2022","447.08","444.30","449.52","444.06","","0.62%"
"04/27/2022","444.31","440.70","445.55","436.75","234.38M","0.73%"
"04/26/2022","441.10","445.10","449.58","441.10","","-0.90%"
"04/25/2022","445.11","449.64","449.64","443.15","202.50M","-1.81%"
"04/22/2022","453.31","458.52","458.52","453.31","196.25M","-1.79%"
"04/21/2022","461.57","459.87","464.11","459.71","187.61M","0.32%"
"04/20/2022","460.10","456.32","461.06","456.02","239.16M","0.84%"
"04/19/2022","456.28","457.90","457.90","453.12","190.80M","-0.77%"
"04/15/2022","459.82","459.82","459.82","459.82","","0.00%"
"04/14/2022","459.82","456.99","460.34","456.22","209.40M","0.67%"
"04/13/2022","456.78","456.49","457.14","454.06","180.01M","0.03%"
"04/12/2022","456.65","456.63","457.94","451.65","203.44M","-0.35%"
"04/11/2022","458.26","459.28","461.06","456.74","192.63M","-0.59%"
"04/08/2022","460.97","456.95","461.41","456.95","216.10M","1.31%"
"04/07/2022","455.02","456.51","460.54","454.72","243.80M","-0.21%"
